Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,15,4,"A(3) D(5) H(9) R(10)",0.5831,0.9991,0.5726,2.1548,no
mol_2,5,4,"A(1) D(2) H(6) R(8)",0.5850,0.9995,0.5748,2.1593,no
mol_5,46,4,"A(2) D(4) H(5) R(7)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,16,4,"A(4) D(8) H(10) R(11)",0.3705,0.8018,0.4194,1.5917,no
mol_7,37,4,"A(2) D(4) H(6) R(9)",0.0022,0.3833,0.3097,0.6953,no
mol_11,29,4,"A(1) D(6) H(8) R(9)",0.4036,0.8524,0.4231,1.6792,no
mol_13,19,4,"A(2) D(4) H(5) R(9)",0.7800,0.9799,0.5824,2.3423,no
mol_14,11,4,"A(2) D(3) H(4) R(8)",0.7745,0.9688,0.5597,2.3031,no
