Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,25,4,"A(3) H(6) H(9) R(10)",0.9928,0.9999,0.9604,2.9532,no
mol_2,21,4,"A(1) H(3) H(6) R(8)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,1,4,"A(2) H(5) H(4) R(9)",0.3098,0.8105,0.4097,1.5300,no
mol_4,2,4,"A(3) H(6) H(5) R(9)",0.3117,0.8062,0.4119,1.5299,no
mol_6,19,4,"A(4) H(9) H(10) R(11)",0.4464,0.9129,0.4965,1.8558,no
mol_7,27,4,"A(2) H(5) H(6) R(9)",0.4313,0.9435,0.4368,1.8116,no
mol_8,42,4,"A(2) H(3) H(4) R(8)",0.4465,0.9109,0.4842,1.8416,no
