Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,13,4,"A(3) D(5) H(6) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,15,4,"A(1) D(2) H(3) R(8)",0.9931,1.0000,0.9843,2.9774,no
mol_3,32,4,"A(2) D(3) H(6) R(9)",0.4750,0.9825,0.4597,1.9173,no
mol_4,31,4,"A(3) D(4) H(7) R(9)",0.4557,0.9825,0.4602,1.8984,no
mol_6,7,4,"A(4) D(8) H(9) R(11)",0.4267,0.9310,0.5152,1.8729,no
mol_7,19,4,"A(2) D(4) H(5) R(9)",0.2025,0.4436,0.4054,1.0515,no
mol_9,22,4,"A(3) D(4) H(5) R(6)",0.4867,0.5077,0.3703,1.3647,no
mol_13,13,4,"A(2) D(4) H(5) R(8)",0.6358,0.8143,0.4754,1.9255,no
mol_14,6,4,"A(2) D(3) H(4) R(7)",0.6194,0.8062,0.4030,1.8286,no
