Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,24,4,"A(3) H(6) H(9) R(10)",0.9546,0.9999,0.9447,2.8992,no
mol_2,24,4,"A(1) H(3) H(6) R(8)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,25,4,"A(2) H(5) H(4) R(9)",0.4943,0.8326,0.4027,1.7296,no
mol_4,25,4,"A(3) H(6) H(5) R(9)",0.4816,0.8327,0.4054,1.7197,no
mol_6,19,4,"A(4) H(9) H(10) R(11)",0.4106,0.9283,0.4908,1.8298,no
mol_7,11,4,"A(2) H(5) H(6) R(9)",0.4215,0.9042,0.4175,1.7432,no
mol_8,42,4,"A(2) H(3) H(4) R(8)",0.4544,0.9308,0.4855,1.8707,no
