Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,25,4,"A(3) D(5) H(6) R(10)",0.4126,0.9776,0.4448,1.8349,no
mol_2,23,4,"A(1) D(2) H(3) R(8)",0.4108,0.9777,0.4428,1.8313,no
mol_3,35,4,"A(2) D(3) H(6) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_4,34,4,"A(3) D(4) H(7) R(9)",0.9538,0.9996,0.9674,2.9208,no
mol_6,36,4,"A(4) D(8) H(9) R(11)",0.3992,0.8786,0.4448,1.7226,no
mol_7,19,4,"A(2) D(4) H(5) R(9)",0.1730,0.5168,0.4144,1.1042,no
mol_11,11,4,"A(2) D(4) H(7) R(9)",0.0418,0.4581,0.3855,0.8854,no
mol_13,13,4,"A(2) D(4) H(5) R(8)",0.6105,0.9027,0.3876,1.9008,no
mol_14,6,4,"A(2) D(3) H(4) R(7)",0.6018,0.8987,0.3793,1.8798,no
